datetime,price_da,quantity
2015-12-31 23:00:00+00:00,23.86,46716.0
2016-01-01 00:00:00+00:00,22.39,44416.0
2016-01-01 01:00:00+00:00,20.59,42851.5
2016-01-01 02:00:00+00:00,16.81,42308.5
2016-01-01 03:00:00+00:00,17.41,42372.0
2016-01-01 04:00:00+00:00,17.02,43124.0
2016-01-01 05:00:00+00:00,15.86,44701.5
2016-01-01 06:00:00+00:00,18.16,47876.5
2016-01-01 07:00:00+00:00,17.73,50323.25
2016-01-01 08:00:00+00:00,19.77,52480.75
2016-01-01 09:00:00+00:00,23.75,54729.25
2016-01-01 10:00:00+00:00,26.03,57084.25
2016-01-01 11:00:00+00:00,27.06,56778.0
2016-01-01 12:00:00+00:00,26.59,55087.25
2016-01-01 13:00:00+00:00,25.0,53587.75
2016-01-01 14:00:00+00:00,24.43,52923.75
2016-01-01 15:00:00+00:00,28.87,54804.5
2016-01-01 16:00:00+00:00,37.44,58275.5
2016-01-01 17:00:00+00:00,37.41,58913.75
2016-01-01 18:00:00+00:00,35.34,57121.75
2016-01-01 19:00:00+00:00,33.07,53664.5
2016-01-01 20:00:00+00:00,29.52,51523.5
2016-01-01 21:00:00+00:00,30.1,53050.25
2016-01-01 22:00:00+00:00,24.57,50059.25
2016-01-01 23:00:00+00:00,22.2,46429.5
2016-01-02 00:00:00+00:00,16.57,44985.25
2016-01-02 01:00:00+00:00,15.35,43752.25
2016-01-02 02:00:00+00:00,12.77,43064.75
2016-01-02 03:00:00+00:00,11.27,42816.75
2016-01-02 04:00:00+00:00,11.91,42818.0
2016-01-02 05:00:00+00:00,12.62,42745.75
2016-01-02 06:00:00+00:00,13.83,45693.5
2016-01-02 07:00:00+00:00,16.12,48923.5
2016-01-02 08:00:00+00:00,18.12,52256.75
2016-01-02 09:00:00+00:00,19.59,54505.25
2016-01-02 10:00:00+00:00,21.07,56385.25
2016-01-02 11:00:00+00:00,22.54,56088.75
2016-01-02 12:00:00+00:00,19.79,54428.75
2016-01-02 13:00:00+00:00,16.9,52742.25
2016-01-02 14:00:00+00:00,16.97,52552.0
2016-01-02 15:00:00+00:00,19.25,54553.25
2016-01-02 16:00:00+00:00,28.01,58994.0
2016-01-02 17:00:00+00:00,28.36,59735.0
2016-01-02 18:00:00+00:00,26.56,58227.25
2016-01-02 19:00:00+00:00,17.38,54705.75
2016-01-02 20:00:00+00:00,15.83,52203.75
2016-01-02 21:00:00+00:00,16.97,52334.5
2016-01-02 22:00:00+00:00,15.31,49621.25
2016-01-02 23:00:00+00:00,6.99,45906.25
2016-01-03 00:00:00+00:00,-0.01,43870.75
2016-01-03 01:00:00+00:00,0.23,42541.25
2016-01-03 02:00:00+00:00,4.51,41663.75
2016-01-03 03:00:00+00:00,4.12,41510.5
