datetime,price_da,quantity
2015-12-31 23:00:00+00:00,48.55,23273.0
2016-01-01 00:00:00+00:00,40.0,22495.0
2016-01-01 01:00:00+00:00,33.1,21272.0
2016-01-01 02:00:00+00:00,28.11,20022.0
2016-01-01 03:00:00+00:00,27.13,19148.0
2016-01-01 04:00:00+00:00,25.24,18750.0
2016-01-01 05:00:00+00:00,19.98,18729.0
2016-01-01 06:00:00+00:00,18.16,18647.0
2016-01-01 07:00:00+00:00,17.73,18242.0
2016-01-01 08:00:00+00:00,19.77,18164.0
2016-01-01 09:00:00+00:00,23.75,19478.0
2016-01-01 10:00:00+00:00,26.03,20619.0
2016-01-01 11:00:00+00:00,27.06,21366.0
2016-01-01 12:00:00+00:00,26.59,22335.0
2016-01-01 13:00:00+00:00,25.0,22670.0
2016-01-01 14:00:00+00:00,20.06,21309.0
2016-01-01 15:00:00+00:00,19.43,20767.0
2016-01-01 16:00:00+00:00,24.57,21194.0
2016-01-01 17:00:00+00:00,33.11,23845.0
2016-01-01 18:00:00+00:00,35.34,25055.0
2016-01-01 19:00:00+00:00,33.07,25922.0
2016-01-01 20:00:00+00:00,29.52,26372.0
2016-01-01 21:00:00+00:00,30.1,26374.0
2016-01-01 22:00:00+00:00,24.57,24440.0
2016-01-01 23:00:00+00:00,22.2,22552.0
2016-01-02 00:00:00+00:00,16.57,20444.0
2016-01-02 01:00:00+00:00,15.35,19033.0
2016-01-02 02:00:00+00:00,12.77,18498.0
2016-01-02 03:00:00+00:00,11.27,18178.0
2016-01-02 04:00:00+00:00,11.91,18635.0
2016-01-02 05:00:00+00:00,12.62,19907.0
2016-01-02 06:00:00+00:00,14.17,20763.0
2016-01-02 07:00:00+00:00,17.73,22305.0
2016-01-02 08:00:00+00:00,26.81,24629.0
2016-01-02 09:00:00+00:00,35.4,26782.0
2016-01-02 10:00:00+00:00,36.1,27461.0
2016-01-02 11:00:00+00:00,30.34,26717.0
2016-01-02 12:00:00+00:00,31.26,27122.0
2016-01-02 13:00:00+00:00,30.99,27309.0
2016-01-02 14:00:00+00:00,29.0,26163.0
2016-01-02 15:00:00+00:00,32.0,25735.0
2016-01-02 16:00:00+00:00,39.99,25912.0
2016-01-02 17:00:00+00:00,45.5,27547.0
2016-01-02 18:00:00+00:00,55.1,28583.0
2016-01-02 19:00:00+00:00,59.0,28830.0
2016-01-02 20:00:00+00:00,59.56,28880.0
2016-01-02 21:00:00+00:00,51.1,27719.0
2016-01-02 22:00:00+00:00,40.66,25757.0
2016-01-02 23:00:00+00:00,30.25,24017.0
2016-01-03 00:00:00+00:00,20.1,22088.0
2016-01-03 01:00:00+00:00,14.64,20694.0
2016-01-03 02:00:00+00:00,10.12,19895.0
2016-01-03 03:00:00+00:00,7.14,19498.0
2016-01-03 04:00:00+00:00,9.41,19504.0
2016-01-03 05:00:00+00:00,4.14,19709.0
2016-01-03 06:00:00+00:00,7.08,20200.0
2016-01-03 07:00:00+00:00,11.4,20754.0
2016-01-03 08:00:00+00:00,17.64,22399.0
2016-01-03 09:00:00+00:00,19.99,24604.0
2016-01-03 10:00:00+00:00,22.11,25713.0
2016-01-03 11:00:00+00:00,22.68,25838.0
2016-01-03 12:00:00+00:00,22.0,26316.0
2016-01-03 13:00:00+00:00,19.89,26314.0
2016-01-03 14:00:00+00:00,17.75,25380.0
2016-01-03 15:00:00+00:00,18.76,24830.0
2016-01-03 16:00:00+00:00,21.8,25035.0
2016-01-03 17:00:00+00:00,26.76,27307.0
2016-01-03 18:00:00+00:00,27.23,28468.0
2016-01-03 19:00:00+00:00,25.33,29128.0
2016-01-03 20:00:00+00:00,23.65,29359.0
2016-01-03 21:00:00+00:00,22.57,28470.0
2016-01-03 22:00:00+00:00,21.01,26384.0
2016-01-03 23:00:00+00:00,13.78,23648.0
2016-01-04 00:00:00+00:00,9.0,21846.0
2016-01-04 01:00:00+00:00,6.5,20521.0
2016-01-04 02:00:00+00:00,5.55,20052.0
2016-01-04 03:00:00+00:00,5.0,20025.0
2016-01-04 04:00:00+00:00,8.0,20636.0
2016-01-04 05:00:00+00:00,19.11,22857.0
2016-01-04 06:00:00+00:00,31.44,26296.0
2016-01-04 07:00:00+00:00,38.0,29114.0
2016-01-04 08:00:00+00:00,40.66,31512.0
2016-01-04 09:00:00+00:00,43.0,33220.0
2016-01-04 10:00:00+00:00,42.08,33652.0
